Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_torso,0,1.8746E-05,-0.0070117,0,0,0,13.769,0.23618,3.5387E-16,-3.1186E-17,0.56891,-0.00024972,0.77773,0,0,0,0,0,0,package://quadroit_v1/meshes/base_link_torso.STL,1,0.95686,0.93725,1,0,0,0,0,0,0,package://quadroit_v1/meshes/base_link_torso.STL,,torso-1,torso,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_fr_hip,0.037459,0,0,0,0,0,0.085716,1.3291E-05,-3.4278E-21,9.2434E-20,8.7399E-05,-2.4112E-21,9.3226E-05,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fr_hip.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fr_hip.STL,,Leg_Assem-1/leg_hip-1,Origin_joint_fr_hip,Axis_joint_fr_hip,joint_fr_torso_hip,revolute,0.3,-0.21,0,1.5708,1.5592,1.5708,base_link_torso,0,0,1,0,0,0,0,,,,,,,,
leg_fr_thigh,0.1,0.00053754,0,0,0,0,0.17647,2.2878E-05,-3.007E-19,5.8022E-20,0.0013721,4.8704E-21,0.0013771,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fr_thigh.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fr_thigh.STL,,Leg_Assem-1/leg_thigh-1,Origin_joint_fr_hip_thigh,Axis_joint_fr_hip_thigh,joint_fr_hip_thigh,revolute,0.08,0,0,1.5708,0.20146,0,leg_fr_hip,0,0,1,0,0,0,0,,,,,,,,
leg_fr_shank,0.11296,1.1102E-16,6.9389E-18,0,0,0,0.15342,1.4557E-05,2.3378E-19,1.931E-20,0.00096153,-7.6233E-21,0.00095871,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fr_shank.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fr_shank.STL,,Leg_Assem-1/leg_shank-1,Origin_joint_fr_thigh_shank,Axis_joint_fr_thigh_shank,joint_fr_thigh_shank,revolute,0.2,0,0,0,0,0.92486,leg_fr_thigh,0,0,1,0,0,0,0,,,,,,,,
leg_fl_hip,0.037459,0,0,0,0,0,0.085716,1.3291E-05,-2.2056E-20,1.8132E-19,8.7399E-05,8.636E-21,9.3226E-05,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fl_hip.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fl_hip.STL,,Leg_Assem-4/leg_hip-1,Origin_joint_fl_hip,Axis_joint_fl_hip,joint_fl_torso_hip,revolute,0.3,0.21,0,-1.5708,1.5654,-1.5708,base_link_torso,0,0,1,0,0,0,0,,,,,,,,
leg_fl_thigh,0.1,0.00053754,0,0,0,0,0.17647,2.2878E-05,-9.4868E-20,1.0785E-19,0.0013721,3.0705E-21,0.0013771,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fl_thigh.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fl_thigh.STL,,Leg_Assem-4/leg_thigh-1,Origin_joint_fl_hip_thigh,Axis_joint_fl_hip_thigh,joint_fl_hip_thigh,revolute,0.08,0,0,1.5708,0.20146,0,leg_fl_hip,0,0,1,0,0,0,0,,,,,,,,
leg_fl_shank,0.11296,3.3307E-16,-5.5511E-17,0,0,0,0.15342,1.4557E-05,2.5242E-19,1.8619E-19,0.00096153,1.207E-20,0.00095871,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fl_shank.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_fl_shank.STL,,Leg_Assem-4/leg_shank-1,Origin_joint_fl_thigh_shank,Axis_joint_fl_thigh_shank,joint_fl_thigh_shank,revolute,0.2,0,0,0,0,0.92486,leg_fl_thigh,0,0,1,0,0,0,0,,,,,,,,
leg_rl_hip,0.037459,-1.1102E-16,-5.5511E-17,0,0,0,0.085716,1.3291E-05,1.6411E-20,1.2826E-20,8.7399E-05,4.0862E-22,9.3226E-05,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rl_hip.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rl_hip.STL,,Leg_Assem-3/leg_hip-1,Origin_joint_rl_hip,Axis_joint_rl_hip,joint_rl_torso_hip,revolute,-0.3,0.21,0,-1.5708,1.5239,-1.5708,base_link_torso,0,0,1,0,0,0,0,,,,,,,,
leg_rl_thigh,0.1,0.00053754,-5.5511E-17,0,0,0,0.17647,2.2878E-05,-3.2611E-20,6.321E-20,0.0013721,-1.1011E-20,0.0013771,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rl_thigh.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rl_thigh.STL,,Leg_Assem-3/leg_thigh-1,Origin_joint_rl_hip_thigh,Axis_joint_rl_hip_thigh,joint_rl_hip_thigh,revolute,0.08,0,0,1.5708,0.20146,0,leg_rl_hip,0,0,1,0,0,0,0,,,,,,,,
leg_rl_shank,0.11296,-1.1102E-16,5.5511E-17,0,0,0,0.15342,1.4557E-05,6.8186E-20,-4.9498E-20,0.00096153,5.0822E-21,0.00095871,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rl_shank.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rl_shank.STL,,Leg_Assem-3/leg_shank-1,Origin_joint_rl_thigh_shank,Axis_joint_rl_thigh_shank,joint_rl_thigh_shank,revolute,0.2,0,0,0,0,0.92486,leg_rl_thigh,0,0,1,0,0,0,0,,,,,,,,
leg_rr_hip,0.037459,2.0817E-17,-5.5511E-17,0,0,0,0.085716,1.3291E-05,-1.1211E-20,6.432E-20,8.7399E-05,7.8262E-21,9.3226E-05,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rr_hip.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rr_hip.STL,,Leg_Assem-2/leg_hip-1,Origin_joint_rr_hip,Axis_joint_rr_hip,joint_rr_torso_hip,revolute,-0.3,-0.21,0,1.5708,1.5698,1.5708,base_link_torso,0,0,1,0,0,0,0,,,,,,,,
leg_rr_thigh,0.1,0.00053754,-1.3878E-17,0,0,0,0.17647,2.2878E-05,-3.566E-19,1.0674E-19,0.0013721,-4.394E-21,0.0013771,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rr_thigh.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rr_thigh.STL,,Leg_Assem-2/leg_thigh-1,Origin_joint_rr_hip_thigh,Axis_joint_rr_hip_thigh,joint_rr_hip_thigh,revolute,0.08,0,0,1.5708,0.20146,0,leg_rr_hip,0,0,1,0,0,0,0,,,,,,,,
leg_rr_shank,0.11296,0,0,0,0,0,0.15342,1.4557E-05,8.4237E-19,-7.2387E-20,0.00096153,-1.1435E-20,0.00095871,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rr_shank.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://quadroit_v1/meshes/leg_rr_shank.STL,,Leg_Assem-2/leg_shank-1,Origin_joint_rr_thigh_shank,Axis_joint_rr_thigh_shank,joint_rr_thigh_shank,revolute,0.2,0,0,0,0,0.92486,leg_rr_thigh,0,0,1,0,0,0,0,,,,,,,,
